MJD,x_pole,y_pole,Type,UT1-UTC
41684,0.120733,0.136966,final,0.8084178
41685,0.118980,0.135656,final,0.8056163
41686,0.117227,0.134348,final,0.8027895
41687,0.115473,0.133044,final,0.7998729
41688,0.113717,0.131746,final,0.7968144
41689,0.111957,0.130458,final,0.7935822
41690,0.110189,0.129182,final,0.7901710
41691,0.108410,0.127920,final,0.7866053
41692,0.106616,0.126675,final,0.7829389
41693,0.104804,0.125451,final,0.7792487
41694,0.102969,0.124251,final,0.7756218
41695,0.101112,0.123080,final,0.7721359
41696,0.099228,0.121940,final,0.7688378
41697,0.097313,0.120836,final,0.7657235
41698,0.095364,0.119770,final,0.7627325
41699,0.093377,0.118746,final,0.7597608
41700,0.091350,0.117765,final,0.7566931
41701,0.089282,0.116826,final,0.7534441
41702,0.087176,0.115931,final,0.7499880
41703,0.085034,0.115078,final,0.7463651
41704,0.082862,0.114270,final,0.7426621
41705,0.080666,0.113505,final,0.7389789
41706,0.078449,0.112784,final,0.7353998
41707,0.076214,0.112102,final,0.7319778
41708,0.073963,0.111459,final,0.7287348
41709,0.071700,0.110852,final,0.7256670
41710,0.069429,0.110278,final,0.7227502
41711,0.067156,0.109736,final,0.7199427
41712,0.064883,0.109225,final,0.7171871
41713,0.062616,0.108746,final,0.7144166
41714,0.060358,0.108300,final,0.7115628
41715,0.058109,0.107887,final,0.7085656
41716,0.055874,0.107508,final,0.7053831
41717,0.053653,0.107163,final,0.7020005
41718,0.051450,0.106854,final,0.6984370
41719,0.049266,0.106581,final,0.6947473
41720,0.047102,0.106342,final,0.6910149
41721,0.044960,0.106139,final,0.6873348
41722,0.042840,0.105970,final,0.6837911
41723,0.040741,0.105835,final,0.6804349
41724,0.038662,0.105732,final,0.6772686
41725,0.036602,0.105660,final,0.6742427
41726,0.034559,0.105617,final,0.6712667
41727,0.032530,0.105602,final,0.6682328
41728,0.030514,0.105615,final,0.6650466
41729,0.028512,0.105655,final,0.6616571
41730,0.026521,0.105724,final,0.6580719
41731,0.024540,0.105822,final,0.6543535
41732,0.022565,0.105948,final,0.6505970
41733,0.020591,0.106103,final,0.6468995
41734,0.018615,0.106284,final,0.6433358
41735,0.016632,0.106492,final,0.6399465
41736,0.014641,0.106728,final,0.6367394
41737,0.012643,0.106993,final,0.6336961
41738,0.010637,0.107286,final,0.6307782
